rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
10,30,30,50,17,10,rep10_k30_lambda30_mu50,,,80.54997126471442,7.548838008823898,-0.313339469568238,97.21488756524825
1,10,30,100,34,10,rep1_k10_lambda30_mu100,,,166.88241865432119,12.07972920572289,-0.5187860423927925,183.9158552266458
1,30,200,100,34,10,rep1_k30_lambda200_mu100,,,184.09121430680608,10.669569056249413,0.18377733003066618,250.4606155689614
2,10,200,100,34,10,rep2_k10_lambda200_mu100,,,181.58189168632958,7.798724050166731,0.4376076375624319,241.22335446852946
2,30,10000,100,34,10,rep2_k30_lambda10000_mu100,,,226.91358913691874,8.810212575532876,-0.005707070573306428,261.5411808563798
3,10,10000,100,34,10,rep3_k10_lambda10000_mu100,,,223.16469811974255,6.3459048869509385,0.21818319976747483,251.00857351106666
3,100,50,100,34,10,rep3_k100_lambda50_mu100,,,171.44961726537616,15.99642874937916,-0.14355249087214905,229.13200262049273
4,10,200,100,34,10,rep4_k10_lambda200_mu100,,,188.87412508598533,9.161902515471873,-0.3505819890920663,204.62148991237964
4,30,10000,100,34,10,rep4_k30_lambda10000_mu100,,,228.81447335784694,11.050951770690473,-0.03135600201983284,269.8890531593754
5,10,10000,100,34,10,rep5_k10_lambda10000_mu100,,,230.20986845672647,9.693199713732598,-0.12972602039226544,252.8107569151045
5,100,50,100,34,10,rep5_k100_lambda50_mu100,,,169.20535598175329,15.46687789554547,-0.11080851803792487,229.48373896461132
6,20,50,100,34,10,rep6_k20_lambda50_mu100,,,172.45540467908336,13.058895108284634,0.007884257995596642,219.78283567829035
6,100,2000,100,34,10,rep6_k100_lambda2000_mu100,,,213.6137833648045,8.656729405980501,-0.13864723161821457,245.17184830989527
7,20,50,100,34,10,rep7_k20_lambda50_mu100,,,175.32933841441059,13.91420466922326,-0.3922466171632205,201.09328362677653
7,100,2000,100,34,10,rep7_k100_lambda2000_mu100,,,210.8860008478122,9.286179205692756,-0.030923258045664356,255.1439588143689
8,20,50,100,34,10,rep8_k20_lambda50_mu100,,,170.18667039614382,11.423727426727826,-0.13176356882088652,201.96493918711283
8,100,2000,100,34,10,rep8_k100_lambda2000_mu100,,,212.05560920783319,9.787420248005226,-0.1338405105436984,248.13230967186334
9,20,50,100,34,10,rep9_k20_lambda50_mu100,,,169.81197510425648,6.020762479226335,0.7206900853448093,385.2853094673939
9,100,2000,100,34,10,rep9_k100_lambda2000_mu100,,,213.1567880011044,9.003745311363009,-0.0988241225466873,249.2680269651213
10,30,30,100,34,10,rep10_k30_lambda30_mu100,,,160.17441340233938,14.11641695307225,-0.08907064091588829,206.7383403045174
1,5,30,20,6.8,10,rep1_k5_lambda30_mu20,,,31.198546839070158,0.7462535412242755,0.2801729108773381,33.82504609392905
1,20,10000,20,6.8,10,rep1_k20_lambda10000_mu20,,,45.346989512191236,1.2148603667756988,0.18633887338715907,51.90077070816957
2,5,10000,20,6.8,10,rep2_k5_lambda10000_mu20,,,46.17977190602612,2.0728916653041902,0.450858913221637,56.85343391841219
2,30,50,20,6.8,10,rep2_k30_lambda50_mu20,,,34.60377939606344,2.9689483686739053,-0.21567065040195785,42.32528925835963
3,10,2000,20,6.8,10,rep3_k10_lambda2000_mu20,,,43.14943933542793,1.7778146669737485,-0.23603688720483976,46.702407267608514
3,100,30,20,6.8,10,rep3_k100_lambda30_mu20,,,32.16197756219201,2.944100485176116,-0.10262213981978295,43.84657339171717
4,10,2000,20,6.8,10,rep4_k10_lambda2000_mu20,,,42.82018202310271,1.480101927108435,-0.30869983099533105,45.50516176604879
4,100,30,20,6.8,10,rep4_k100_lambda30_mu20,,,32.307008726789405,3.138901162951771,-0.04782558199016428,46.623588727206
