rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
2,20,10000,50,17,10,rep2_k20_lambda10000_mu50,,,112.75136621808709,4.172504669777226,-0.14137310271107775,1.0680812787630658,0.7770766812975324,0.18806220158243722
2,30,50,50,17,10,rep2_k30_lambda50_mu50,,,83.84439326380664,6.476224075798429,-0.05423914164542891,1.3416970336909162,0.9693457968354311,0.14225635928577862
2,30,2000,50,17,10,rep2_k30_lambda2000_mu50,,,105.5240997732021,4.614867463019292,-0.03372431620161011,0.9458950274184585,0.6808062112504223,0.12767119850224698
2,100,30,50,17,10,rep2_k100_lambda30_mu50,,,80.45638805261927,8.08084013187013,-0.15488573682215206,0.8980333544278989,0.6287059177712891,0.0669850800041302
2,100,200,50,17,10,rep2_k100_lambda200_mu50,,,93.23321992845162,6.350394781373514,-0.08428072518389747,0.7165200028762907,0.5124829948480706,0.07591736405832168
2,100,10000,50,17,10,rep2_k100_lambda10000_mu50,,,113.44613829989278,5.0107118979850185,-0.044107687431833374,0.5535925216412197,0.39113766137703226,0.05993814990612162
3,3,50,50,17,10,rep3_k3_lambda50_mu50,,,NA,NA,NA,NA,NA,NA
3,3,2000,50,17,10,rep3_k3_lambda2000_mu50,,,106.95108805564492,4.865730012109074,-1.340721298413269,2.0000019133633695e-6,2.0000019900198605e-6,2.000001620510726e-6
3,5,30,50,17,10,rep3_k5_lambda30_mu50,,,81.33316002391346,4.40809669221948,0.30864957094548995,2.3945191114159425,2.041013335665368,0.5253483669300323
3,5,200,50,17,10,rep3_k5_lambda200_mu50,,,93.58493446791445,4.714096355532761,-0.5844450529436744,2.5222991025778887,2.2371931313490334,0.5861881764704658
3,5,10000,50,17,10,rep3_k5_lambda10000_mu50,,,110.69784655394497,2.1083798895646884,0.3952072507390084,1.1323306552698988,1.0086635469687886,0.5188002271260364
3,10,50,50,17,10,rep3_k10_lambda50_mu50,,,89.91711141823487,7.27275826514824,-0.5015032743386961,2.562731452656358,2.0167388374113164,0.26069312800624606
3,10,2000,50,17,10,rep3_k10_lambda2000_mu50,,,106.41490701832767,2.46604921779274,-0.12729039946223003,0.8767483018550192,0.61680025973464,0.2351890789199413
